"mz_10eV","10 ev","mz_20eV","20 ev","mz_40eV","40 ev"
"427.2248","4.000e1","207.7497","2.000e1","139.7298","2.100e1"
"427.4787","2.100e1","208.0287","6.400e1","140.0356","2.150e2"
"427.5642","2.100e1","208.0727","1.260e2","140.0532","1.580e2"
"427.6812","2.400e1","208.1064","4.800e1","140.0838","6.104e3"
"427.9302","2.900e1","209.0533","1.680e2","140.1388","2.900e1"
"428.1542","3.600e1","209.0841","2.294e1","140.5638","6.400e1"
"428.1853","2.500e1","209.1015","6.100e1","140.5887","2.100e1"
"428.2495","4.700e1","209.4097","2.300e1","141.0700","1.763e2"
"428.4110","2.200e1","209.4848","2.400e1","141.0881","3.263e2"
"428.4602","2.700e1","210.0537","2.000e1","141.8184","3.600e1"
"428.6316","2.600e1","210.0900","1.800e2","142.0311","8.410e0"
"428.9278","2.700e1","210.9503","2.200e1","142.0533","3.075e2"
"429.1028","2.400e1","212.0661","4.000e1","142.0746","1.101e2"
"429.1591","2.000e1","212.1021","2.900e1","142.0980","1.426e2"
"429.1950","5.900e1","212.3713","2.300e1","142.9704","4.600e1"
"429.3416","2.200e1","212.3959","2.600e1","143.0212","1.430e1"
"429.5327","3.000e1","213.8651","2.200e1","143.0479","2.416e3"
"430.4094","2.400e1","214.0917","7.000e1","143.0915","8.019e1"
"430.6782","3.300e1","214.1293","5.261e2","143.8392","2.500e1"
"431.2204","6.700e1","214.1449","7.943e1","144.0154","2.500e1"
"431.4433","2.100e1","215.0724","4.900e1","144.0234","7.214e1"
"431.4789","2.200e1","215.1174","1.766e3","144.0322","7.520e1"
"431.6708","2.200e1","215.6562","3.200e1","144.0400","2.670e1"
"431.8649","3.300e1","216.0893","2.000e1","144.0803","1.670e3"
"432.1616","3.700e1","216.1119","4.896e1","144.1135","5.109e1"
"432.3332","2.400e1","216.1236","1.649e2","144.6030","3.000e1"
"432.6241","2.300e1","217.0734","2.200e1","145.0180","2.142e1"
"432.8805","3.100e1","217.1313","2.900e1","145.0598","9.458e1"
"433.1329","2.600e1","217.1423","2.250e1","145.0807","1.496e2"
"433.2657","4.300e1","217.1540","2.200e1","145.1063","2.916e1"
"433.5779","2.600e1","218.0056","3.800e1","145.3624","3.600e1"
"433.6431","2.700e1","218.0815","2.400e1","145.3990","3.100e1"
"433.9806","4.500e1","218.1780","2.200e1","145.5378","2.900e1"
"434.2176","5.300e1","219.1100","2.349e3","146.0939","8.022e2"
"434.6501","5.300e1","219.1477","1.784e1","146.1386","2.400e1"
"434.6808","2.300e1","219.3524","3.400e1","146.8573","3.700e1"
"434.7197","2.000e1","219.4886","5.500e1","146.8748","5.500e1"
"434.8093","4.400e1","220.0551","3.300e1","147.0763","8.616e1"
"435.1659","2.000e1","220.0673","3.331e1","147.1044","9.034e0"
"435.3242","5.300e1","220.0766","6.176e1","147.1423","2.900e1"
"435.8213","2.200e1","220.1175","1.477e2","147.7038","2.900e1"
"436.2484","2.200e1","221.1052","2.600e1","147.7289","3.300e1"
"436.5262","2.300e1","222.0918","9.900e1","148.0859","6.506e1"
"436.7243","2.700e1","222.7785","2.800e1","149.0423","3.103e1"
"436.8116","3.000e1","223.0808","3.400e1","149.0717","1.580e2"
"436.9345","2.100e1","223.1193","8.000e1","149.9310","2.000e1"
"437.0274","2.400e1","224.0605","6.000e1","149.9965","2.400e1"
"437.3973","2.700e1","224.1044","1.020e2","150.0086","2.300e1"
"437.5550","4.200e1","224.6419","5.000e1","150.0269","3.701e1"
"437.6913","2.300e1","225.0582","3.480e1","150.0672","3.423e2"
"437.8760","5.500e1","225.0971","1.276e3","150.1051","1.867e1"
"438.0141","5.400e1","226.0826","2.317e3","150.6114","2.400e1"
"438.0508","2.200e1","226.1241","2.000e1","150.6238","2.300e1"
"438.1325","2.400e1","226.1579","5.300e1","151.0401","1.302e1"
