"mz_10eV","10 ev","mz_25eV","25 ev","mz_40eV","40 ev"
"634.7520","2.600e1","411.1887","2.678e1","406.0241","2.000e1"
"634.8282","2.000e1","411.1979","1.512e1","406.1354","2.500e1"
"635.2493","2.300e1","411.2769","7.426e2","406.1859","1.060e2"
"635.7175","2.900e1","411.4625","5.000e1","406.2403","2.400e1"
"636.0676","2.200e1","411.7068","2.500e1","407.1593","2.100e1"
"636.3570","2.300e1","411.9305","2.400e1","407.2359","2.000e1"
"636.6154","5.500e1","411.9803","2.100e1","408.0403","2.200e1"
"636.6730","5.600e1","412.1822","9.762e2","408.0765","2.100e1"
"636.7953","2.400e1","412.2230","1.906e2","409.1004","2.500e1"
"638.3785","4.900e1","412.2781","2.334e2","409.9920","2.600e1"
"638.8578","2.300e1","412.3125","2.200e1","410.1283","2.400e1"
"640.3284","2.100e1","413.0025","3.200e1","411.0930","2.000e1"
"640.7695","2.000e1","413.1578","9.162e1","411.1293","2.800e1"
"640.8221","4.400e1","413.1856","3.536e2","411.2093","2.000e1"
"644.1790","2.000e1","413.2549","2.348e1","411.6544","2.400e1"
"645.0388","3.600e1","413.5234","2.600e1","412.3104","2.200e1"
"645.3203","2.300e1","413.7063","2.000e1","413.1715","2.200e1"
"646.2208","2.100e1","414.1082","2.700e1","414.0167","2.000e1"
"647.0876","2.200e1","414.1553","4.078e1","414.1269","2.900e1"
"647.5051","3.000e1","414.1999","3.771e1","414.4294","3.200e1"
"647.5984","2.700e1","414.2448","1.699e2","415.1536","9.500e1"
"648.3537","6.600e1","414.7340","6.300e1","416.2061","4.600e1"
"649.8451","3.600e1","415.0059","2.000e1","416.5371","3.200e1"
"650.2794","2.200e1","415.1126","2.700e1","417.1094","2.000e1"
"652.0703","4.400e1","415.1442","2.200e1","417.1613","5.400e1"
"652.3812","2.200e1","415.1798","4.071e1","418.0869","2.500e1"
"653.0291","4.000e1","415.2547","6.332e3","418.1276","3.800e1"
"655.2307","9.500e1","415.3461","3.700e1","419.1144","5.900e1"
"655.8560","2.400e1","415.3693","4.200e1","419.7964","2.000e1"
"656.3200","5.800e1","415.4229","2.700e1","419.9517","2.100e1"
"660.3660","2.500e1","415.4465","2.100e1","420.0555","7.200e1"
"661.0686","2.300e1","415.6046","2.500e1","420.0827","5.400e1"
"663.3070","3.500e1","415.7461","4.200e1","420.2661","2.100e1"
"664.3450","2.300e1","415.9590","2.500e1","421.2412","2.600e1"
"664.9392","2.100e1","416.1508","2.014e1","421.6621","2.400e1"
"665.4695","2.700e1","416.1664","2.062e1","422.0156","4.400e1"
"668.8260","2.100e1","416.1817","1.330e2","422.2154","3.100e1"
"670.7866","2.200e1","416.2025","1.186e2","424.1549","2.800e1"
"671.5613","2.700e1","416.2550","1.030e3","425.1491","5.200e1"
